City,AQI,CrimeRate,HealthcareIndex,EducationIndex,JobOpportunities,WorthLiving
Pune,60,30,78,82,75,Yes
Delhi,180,70,65,70,80,No
Mumbai,90,50,72,75,85,Yes
Nagpur,70,40,74,77,60,Yes
Kanpur,200,75,60,68,55,No
Bengaluru,80,35,80,88,90,Yes
Patna,210,85,58,65,50,No
Hyderabad,85,40,77,80,83,Yes
Lucknow,150,65,66,72,60,No
Chennai,95,45,75,78,82,Yes
Jaipur,100,48,73,74,70,Yes
Ahmedabad,120,55,70,72,68,No
Surat,85,38,74,76,72,Yes
Bhopal,130,60,68,70,65,No
Indore,90,42,76,78,75,Yes
Kolkata,160,62,67,73,78,No
Coimbatore,75,32,79,81,77,Yes
Chandigarh,65,28,82,85,80,Yes
Visakhapatnam,88,36,76,79,74,Yes
Varanasi,170,68,63,66,58,No
Mysuru,70,30,81,84,70,Yes
Thiruvananthapuram,72,29,83,86,76,Yes
Ranchi,150,64,65,69,55,No
Guwahati,140,58,66,70,60,No
